Delta,Theta,Alpha,Beta,User_ID
1392564972792.6306,59341166937.26336,17488196025.160755,7276609254.257116,U_11
1255089650342.8782,58125055831.4087,17297847493.832287,7228286663.49185,U_11
1137348331674.7366,56946289987.479065,17110672040.69323,7180477665.117852,U_11
1035707233024.9067,55803353001.753624,16926599532.724426,7133175036.390905,U_11
947332698176.4077,54694804805.42919,16745561766.313873,7086371680.36277,U_11
869989950483.123,53619277087.53529,16567492402.655466,7040060625.733186,U_11
801897757975.1658,52575469040.15001,16392326907.528805,6994235022.472729,U_11
741622324284.4534,51562143398.46489,16220002491.241707,6948888139.339161,U_11
687998922570.5305,50578122739.94261,16050458054.019339,6904013360.86991,U_11
640073355412.7576,49622286042.06895,15883634131.156307,6859604185.641235,U_11
597057741708.7428,48693565464.97639,15719472839.706816,6815654224.438963,U_11
558296773465.2095,47790943351.16679,15557917830.010698,6772157197.268115,U_11
523241707709.7358,46913449413.55555,15398914235.981743,6729106931.072827,U_11
491430133365.79285,46060158111.24753,15242408627.851294,6686497358.334993,U_11
462470092928.82275,45230186191.587166,15088348969.352913,6644322513.810817,U_11
436027519162.2463,44422690390.85353,14936684573.093407,6602576532.996632,U_11
411816217892.3958,43636865275.61764,14787366058.156073,6561253650.070774,U_11
389589822996.192,42871941224.21689,14640345311.013634,6520348196.754752,U_11
369135291107.49243,42127182529.25789,14495575446.495638,6479854598.723933,U_11
350267607565.76044,41401885617.48792,14353010769.022762,6439767374.610038,U_11
332825451932.05853,40695377375.84474,14212606738.121775,6400081133.749921,U_11
316667628860.9088,40007013583.901535,14074319933.36001,6360790575.724744,U_11
301670113310.1154,39336177432.441216,13938108019.867476,6321890487.015467,U_11
287723591625.0109,38682278139.44594,13803929716.645824,6283375739.628446,U_11
274731405580.4777,38044749636.83972,13671744764.475712,6245241289.642104,U_11
262607825327.75052,37423049338.9563,13541513896.830547,6207482175.826839,U_11
251276592200.7616,36816656984.31758,13413198809.890903,6170093517.456409,U_11
240669684214.3242,36225073540.16776,13286762134.062874,6133070513.46885,U_11
230726266021.42252,35647820167.20962,13162167407.454418,6096408440.073449,U_11
221391792392.57318,35084437251.703354,13039379049.012173,6060102649.720614,U_11
212617240010.69653,34534483479.6867,12918362333.572088,6024148569.808014,U_11
204358446965.62842,33997534971.81876,12799083366.956509,5988541700.331175,U_11
196575542944.7559,33473184461.82343,12681509062.311462,5953277613.801652,U_11
189232456170.20685,32961040519.949646,12565607116.96853,5918351953.108349,U_11
182296485400.50006,32460726817.534725,12451345989.741453,5883760430.237764,U_11
175737927352.65924,31971881436.127476,12338694880.965277,5849498825.055383,U_11
169529751505.29736,31494156207.813843,12227623710.287971,5815562983.842249,U_11
163647315440.25378,31027216090.68823,12118103097.614742,5781948818.086335,U_11
158068115071.48093,30570738580.335796,12010104343.11691,5748652303.566569,U_11
152771564928.53152,30124413151.779778,11903599407.735907,5715669479.147663,U_11
147738804429.03378,29687940726.828033,11798560896.065334,5682996444.827801,U_11
142952526655.61313,29261033171.728497,11694962038.200842,5650629361.263132,U_11
138396826722.2605,28843412818.656475,11592776672.974874,5618564449.147027,U_11
134057067172.14163,28434812015.503613,11491979231.235714,5586797986.77196,U_11
129919758259.53575,28034972690.74077,11392544719.202688,5555326309.990272,U_11
125972451270.11101,27643645947.694344,11294448704.614855,5524145810.69149,U_11
122203643255.13806,27260591674.27552,11197667299.567553,5493252936.271042,U_11
118602691828.0859,26885578172.830563,11102177147.92903,5462644187.399696,U_11
115159738796.88573,26518381809.067875,11007955409.892765,5432316118.953412,U_11
111865641623.10893,26158786677.62459,10914979748.71149,5402265337.92285,U_11
108711911771.90445,25806584282.05051,10823228318.541407,5372488502.214235,U_11
105690659208.64526,25461573234.20153,10732679749.545357,5342982319.47386,U_11
102794542305.26775,25123558962.10719,10643313136.702261,5313743547.648335,U_11
100016722604.81004,24792353435.23107,10555108027.88963,5284768992.993526,U_11
97350823881.5337,24467774904.89409,10468044410.695322,5256055509.207539,U_11
94790895040.23845,24149647651.53594,10382102703.750507,5227599996.895564,U_11
92331376468.41986,23837801745.89378,10297263743.42372,5199399403.3027115,U_11
89967069448.48872,23532072822.41947,10213508773.632286,5171450719.486027,U_11
87693108328.42848,23232301861.103954,10130819435.749552,5143750981.634733,U_11
85504935181.96817,22938334981.95621,10049177758.630167,5116297269.929371,U_11
83398276685.6437,22650023243.755756,9968566149.045328,5089086706.557955,U_11
3.1521039908405588e+16,261103924176.32068,65741690386.65968,25642319476.51321,U_12
3.2949450358576404e+16,254811939982.23248,64961779073.55177,25461911850.70766,U_12
3.5896570534611816e+16,248746646738.50296,64195978730.662735,25283520876.448536,U_12
2.6271864292669396e+16,242897248203.82416,63443950833.05027,25107116702.965675,U_12
2825874963166191.5,237253585299.94214,62705366957.327095,24932670030.41006,U_12
16351767807696.295,231806091382.16528,61979908421.54275,24760152097.989643,U_12
13894232122361.379,226545751139.14786,61267265939.74332,24589534671.378914,U_12
12325439701803.3,221464062792.3151,60567139291.41883,24420790032.080864,U_12
10549082550261.049,216553003294.09497,59879237004.718056,24253890965.51418,U_12
9016905093448.76,211804996248.26385,59203276051.27258,24088810750.336185,U_12
7765713504721.594,207212882325.48654,58538981554.52973,23925523147.73834,U_12
6750894600429.194,202769891937.3444,57886086509.51418,23764002390.97166,U_12
5922489533543.891,198469619985.43182,57244331513.11977,23604223175.33052,U_12
5239387601526.676,194306002505.2036,56613464506.50839,23446160647.78141,U_12
4670031532012.682,190273295038.94388,55993240526.05351,23289790397.712223,U_12
4190572763528.8237,186366052595.03558,55383421464.857025,23135088447.671608,U_12
3782952466980.41,182579111063.33203,54783775844.45804,22982031244.046288,U_12
3433380242439.967,178907569964.354,54194078593.09963,22830595647.75305,U_12
3131212092809.7827,175346776427.3532,53614110834.798775,22680758925.688316,U_12
2868139878655.1445,171892310289.01974,53043659685.67097,22532498742.50435,U_12
2637606963243.952,168539970238.0338,52482518057.69339,22385793152.10596,U_12
2434384485419.027,165285760914.58524,51930484470.39584,22240620589.48307,U_12
2254261291908.4697,162125880877.2242,51387362869.64634,22096959862.67247,U_12
2093814659848.533,159056711402.5363,50852962452.70599,21954790145.21279,U_12
1950238920073.514,156074806019.75632,50327097500.23539,21814090968.628334,U_12
1821215987237.9626,153176880745.97403,49809587215.277756,21674842215.122562,U_12
1704816538333.0994,150359804960.47473,49300255566.36277,21537024110.153076,U_12
1599423841705.4526,147620592873.34573,48798931138.15114,21400617215.485973,U_12
1503674497801.8923,144956395541.96597,48305446986.52738,21265602422.592873,U_12
1416411931695.394,142364493400.78735,47819640499.68685,21131960945.845505,U_12
1336649591523.3933,139842289259.3634,47341353263.30227,20999674315.683407,U_12
1263541600779.7952,137387301742.10692,46870430931.59104,20868724372.73201,U_12
1196359183473.046,134997159132.64558,46406723101.857124,20739093261.326645,U_12
1134471596218.1187,132669593601.6077,45950083194.68208,20610763423.242657,U_12
1077330605657.6113,130402435782.75319,45500368337.745415,20483717592.43904,U_12
1024457774687.4469,128193609676.93135,45057439253.52025,20357938788.35391,U_12
975433989288.0782,126041127864.80629,44621160151.32808,20233410310.576584,U_12
929890783848.3038,123943087001.33705,44191398623.841835,20110115734.088863,U_12
887503119250.7118,121897663576.6127,43768025544.61214,19988038902.85065,U_12
847983340925.7437,119903109924.63495,43350914972.523994,19867163924.40787,U_12
811076100697.5914,117957750461.77525,42939944057.58307,19747475165.79004,U_12
776554069912.7931,116059978144.67918,42534992949.25785,19628957247.798058,U_12
744214305373.5609,114208251126.20676,42135944710.9788,19511595039.996487,U_12
713875156446.1603,112401089604.37428,41742685232.90126,19395373655.956112,U_12
685373622711.9348,110637072842.10365,41355103152.32457,19280278448.685043,U_12
658563088460.5752,108914836359.12294,40973089773.96927,19166295006.001118,U_12
633311373468.7423,107233069276.72641,40596538993.716805,19053409145.937992,U_12
609499050424.7931,105590511803.73065,40225347224.40362,18941606912.58006,U_12
587017987948.6106,103985952865.26346,39859413324.69116,18830874571.438313,U_12
565770085108.9015,102418227854.82048,39498638530.457794,18721198605.372063,U_12
545666169116.8956,100886216508.46452,39142926387.75494,18612565710.330025,U_12
526625032476.8295,99388840891.77368,38792182687.69697,18504962791.700943,U_12
508572589686.9185,97925063490.96112,38446315404.826385,18398376960.18607,U_12
491441136789.52875,96493885406.60384,38105234636.4437,18292795527.815105,U_12
475168699597.4363,95094344639.69806,37768852543.44704,18188206004.40704,U_12
459698458630.5387,93725514463.45284,37437083294.82005,18084596093.51324,U_12
444978240562.7002,92386501883.97363,37109843011.63897,17981953689.17285,U_12
430960067512.6493,91076446173.51292,36787049714.873795,17880266872.39642,U_12
417599756750.3,89794517479.27917,36468623273.65369,17779523907.612953,U_12
404856564430.5028,88539915503.5499,36154485355.17908,17679713239.065533,U_12
392692867910.54865,87311868248.37843,35844559376.76129,17580823487.87897,U_12
381073881925.80756,86109630820.00609,35538770459.52023,17482843448.661213,U_12
369967404535.8105,84932484294.96248,35237045382.21169,17385762086.27185,U_12
359343589319.26337,83779734638.53769,34939312537.92642,17289568532.791233,U_12
349174740759.24585,82650711678.69606,34645501891.331375,17194252084.55981,U_12
339435130141.8791,81544768124.96225,34355544937.66403,17099802199.258009,U_12
330100829646.3447,80461278637.34798,34069374662.596737,17006208492.695696,U_12
321149562593.3553,79399638938.4391,33786925503.431694,16913460736.29878,U_12
312560568075.8697,78359264966.19183,33508133311.56821,16821548854.08855,U_12
304314478401.4093,77339592066.70409,33232935316.208893,16730462920.032663,U_12
296393207986.7216,76340074225.76375,32961270088.46949,16640193155.551006,U_12
288779852483.86273,75360183333.75983,32693077507.91135,16550729926.602266,U_12
281458597074.37946,74399408484.55042,32428298728.140087,16462063741.253351,U_12
274414632995.25723,73457255307.08073,32166876145.731483,16374185247.407228,U_12
267634081451.9509,72533245327.36015,31908753368.1599,16287085229.936487,U_12
2.2554969156182845e+17,595453255007.796,149963951793.9903,58495836723.36127,U_13
3.770471284148882e+16,581109276692.139,148185034261.83545,58084299671.16937,U_13
1.8283742504764292e+16,567281842627.5055,146438299318.97964,57677362725.03165,U_13
1.194659854618017e+16,553946367502.3096,144722975004.12427,57274957796.993416,U_13
1450369961129921.5,541079715833.81494,143038312386.141,56877018055.52245,U_13
41895714214268.14,528660100284.5062,141383584744.30777,56483477898.23013,U_13
33495591186857.56,516666988223.58026,139758086781.66177,56094272924.40141,U_13
28001067548109.473,505081015775.34,138161133870.8898,55709339909.017,U_13
23627039561979.85,493883908677.693,136592061331.28781,55328616776.80186,U_13
20156740431599.043,483058409336.887,135050223735.04672,54952042577.3183,U_13
17385378169717.46,472588209530.9241,133534994240.68518,54579557460.68861,U_13
15147423153845.553,462457888265.0363,132045763954.57207,54211102653.94914,U_13
13318122952790.52,452652854333.5817,130581941317.13591,53846620437.21634,U_13
11805082091400.986,443159293181.86005,129142951513.6241,53486054121.91198,U_13
10539763491713.295,433964117706.4405,127728235907.84271,53129348028.1833,U_13
9470881371418.482,425054922660.89734,126337251498.82639,52776447464.086685,U_13
8559619581922.928,416419942368.2933,124969470397.61772,52427298703.66069,U_13
7776241905934.388,408048011469.38007,123624379325.80862,52081848967.1181,U_13
7097693564783.414,399928528456.1987,122301479131.77458,51740046401.18212,U_13
6505893726466.743,392051421772.40875,121000284327.17607,51401840059.10189,U_13
5986508262346.899,384407118271.3165,119720322639.48674,51067179881.978004,U_13
5528057936972.778,376986513846.4274,118461134582.82474,50736016679.9701,U_13
5121262919309.405,369780946066.0039,117222273044.29276,50408302114.61219,U_13
4758555513127.629,362782168655.5677,116003302886.0152,50083988680.95506,U_13
4433713945610.055,355982327687.91815,114803800562.29839,49763029690.52963,U_13
4141584238717.8047,349373939349.74805,113623353749.9601,49445379254.29636,U_13
3877866865195.332,342949869167.8318,112461560994.5767,49130992266.61371,U_13
3638951552436.9067,336703312583.1425,111318031366.75533,48819824389.32284,U_13
3421788228351.3594,330627776780.01465,110192384133.49135,48511832035.34687,U_13
3223785355880.4824,324717063670.5275,109084248440.09186,48206972354.373634,U_13
3042729210670.7695,318965253955.7418,107993263004.26015,47905203217.572,U_13
2876719310602.4653,313366692186.1004,106919075820.83423,47606483202.96123,U_13
2724116403158.4375,307915972749.03864,105861343876.92578,47310771581.68375,U_13
2583500291224.8413,302607926716.5236,104819732877.5894,47018028303.45202,U_13
2453635422967.3555,297437609497.5652,103793916981.26979,46728213983.37786,U_13
2333442650810.329,292400289234.9726,102783578545.08276,46441289888.962036,U_13
2221975924298.885,287491435898.365,101788407877.0223,46157217926.76401,U_13
2118402953242.447,282706711025.286,100808102998.94814,45875960630.1265,U_13
2021989084522.445,278041958064.251,99842369416.93813,45597481146.80329,U_13
1932083794606.7324,273493193285.66437,98890919899.77544,45321743226.57377,U_13
1848109322357.8997,269056597215.68213,97953474264.4984,45048711209.64181,U_13
1769551061941.9458,264728506563.9237,97029759170.46999,44778350015.34274,U_13
1695949410140.723,260505406609.77264,96119507919.33234,44510625130.85912,U_13
1626892820933.9175,256383924019.69354,95222460261.70923,44245502599.96858,U_13
1562011866611.8547,252360820067.16928,94338362211.85655,43982949012.388054,U_13
1500974141562.2827,248432984228.44778,93466965866.55357,43722931493.3708,U_13
1443479874291.6743,244597428131.80917,92608029231.59381,43465417693.53248,U_13
1389258137047.3699,240851279838.53265,91761316053.43887,43210375778.4705,U_13
1338063561470.8657,237191778433.60867,90926595656.37689,42957774419.32487,U_13
1289673484259.7268,233616268908.0962,90103642785.34181,42707582783.04241,U_13
1243885459458.7332,230122197314.60028,89292237453.20738,42459770522.825096,U_13
1200515084344.1243,226707106179.88593,88492164794.14536,42214307769.0393,U_13
1159394094381.3174,223368630158.78345,87703214920.79048,41971165120.63224,U_13
1120368689717.0466,220104491915.36047,86925182786.36551,41730313635.70751,U_13
1083298061496.8606,216912498218.02606,86157868051.56992,41491724823.084595,U_13
1048053091106.0627,213790536233.5829,85401074955.39699,41255370634.53562,U_13
1014515199448.0061,210736570012.9463,84654612189.59624,41021223455.83861,U_13
982575326730.8434,207748637154.36832,83918292778.17519,40789256098.857994,U_13
952133026081.4993,204824845632.82224,83191933959.81775,40559441793.82949,U_13
923095656629.9718,201963370791.09753,82475357074.47365,40331754181.83695,U_13
895377663758.1449,199162452477.2484,81768387453.45511,40106167306.84956,U_13
868899935877.545,196420392324.38617,81070854312.66594,39882655608.73831,U_13
843589228544.2314,193735551163.6951,80382590649.4913,39661193915.70483,U_13
819377647951.9146,191106346562.23996,79703433142.6125,39441757437.511116,U_13
796202186885.3508,188531250480.21774,79033222054.93411,39224321758.33138,U_13
774004307115.8987,186008787040.3344,78371801139.9089,39008862830.27835,U_13
752729562983.0914,183537530403.32687,77719017550.0286,38795356966.40891,U_13
732327261571.5309,181116102743.2468,77074721748.50604,38583780834.56791,U_13
712750155464.2467,178743172318.82202,76438767423.78984,38374111450.86119,U_13
693954164539.8602,176417451633.4642,75811011405.8473,38166326173.40443,U_13
675898123708.3251,174137695682.10028,75191313586.31796,37960402696.40295,U_13
658543553850.037,171902700276.66898,74579536839.8388,37756319044.0601,U_13
641854453544.2769,169711300449.75616,73975546947.89677,37554053564.689995,U_13
625797109456.8528,167562368930.4576,73379212525.16432,37353584924.94297,U_13
610339923487.8802,165454814687.26816,72790404948.86769,37154892104.70937,U_13
5.849131606153644e+16,201045053577.6698,50634027771.46353,19750705117.159206,U_14
1.8435323038086996e+16,196202186355.52625,50033396276.91203,19611752961.897152,U_14
1.0150935935555794e+16,191533710146.76157,49443630764.90468,19474353989.43717,U_14
5657647555476351.0,187031325055.27438,48864470596.785995,19338485210.592575,U_14
761933346501038.0,182687220616.69147,48295662910.451416,19204124060.417297,U_14
14126947992303.967,178494041471.5878,47736962341.937935,19071248389.14087,U_14
11245058840905.648,174444855826.78104,47188130759.78923,18939836452.403374,U_14
9432547322026.744,170533126441.3297,46648937012.26025,18809866903.012722,U_14
7968993882312.174,166752683908.08038,46119156682.546974,18681318781.6687,U_14
6801497529581.64,163097702032.8497,45598571852.32022,18554171509.52392,U_14
5867295487397.907,159562675117.18967,45086970880.2629,18428404878.610104,U_14
5112344825438.648,156142396978.034,44584148184.36471,18303999045.009304,U_14
4495080221524.268,152831941560.9051,44089904034.67576,18180934520.03363,U_14
3984481017893.1147,149626644999.82007,43604044354.4292,18059192163.61171,U_14
3557465036155.059,146522089009.80518,43126380530.43319,17938753175.862385,U_14
3196737566594.633,143514085496.39975,42656729227.43628,17819599090.411564,U_14
2889201971914.0527,140598662278.27792,42194912212.400215,17701711767.7546,U_14
2624823232621.6484,137772049838.55585,41740756185.777756,17585073387.15801,U_14
2395820708800.4307,135030669012.89594,41294092617.05981,17469666441.100502,U_14
2196092448344.1672,132371119547.15817,40854757589.36447,17355473727.550133,U_14
2020801085454.4968,129790169447.64627,40422591647.625534,17242478344.69942,U_14
1866072824547.0432,127284745068.80406,39997439653.829124,17130663684.186619,U_14
1728776169137.2922,124851921873.66447,39579150647.41183,17020013425.068096,U_14
1606357437540.6826,122488915819.65375,39167577711.508446,16910511527.87552,U_14
1496717150352.0981,120193075320.69421,38762577842.565216,16802142228.54427,U_14
