Delta,Theta,Alpha,Beta,User_ID
1322795114140.745,186997260418.0792,67606042180.62558,30982570654.912945,U_3
1265215442729.9658,183963155161.9423,66965115164.77607,30795915597.774567,U_3
1211356862745.378,181003275223.87473,66333576576.91831,30611086495.224632,U_3
1160902856314.8745,178115215468.27322,65711244035.84874,30428059750.622185,U_3
1113570094397.7283,175296667550.59338,65097939572.14523,30246812147.998615,U_3
1069104322202.6355,172545415273.29245,64493489499.557106,30067320844.679153,U_3
1027276830489.7134,169859330199.36993,63897724292.743065,29889563364.24566,U_3
987881418964.7875,167236367509.5909,63310478466.78985,29713517589.072662,U_3
950731774592.1288,164674562084.92844,62731590463.71761,29539161754.1277,U_3
915659200993.6786,162172024802.7049,62160902540.28362,29366474439.869938,U_3
882510646029.9156,159726939031.27542,61598260659.822876,29195434565.755745,U_3
851146983465.9089,157337557313.10422,61043514389.82373,29026021383.655193,U_3
821441511840.3395,155002198224.7898,60496516799.27508,28858214471.857956,U_3
793278639624.0116,152719243398.33923,59957124362.66323,28691993728.76351,U_3
766552730578.2789,150487134703.135,59425196864.401764,28527339366.75286,U_3
741167087340.8181,148304371571.41125,58900597308.99639,28364231906.944675,U_3
717033054543.4901,146169508461.21713,58383191831.83722,28202652172.666557,U_3
694069225637.9386,144081152449.1021,57872849613.61486,28042581284.089222,U_3
672200739867.3845,142037960947.14966,57369442797.21623,27884000652.97788,U_3
651358657848.222,140038639532.02536,56872846409.22008,27726891977.069077,U_3
631479405825.6277,138081939883.23233,56382938280.28537,27571237234.871105,U_3
612504280068.7189,136166657824.73404,55899598970.543976,27417018680.379196,U_3
594379004080.2336,134291631464.26985,55422711697.39401,27264218838.387062,U_3
577053332236.8804,132455739418.90326,54952162263.75166,27112820499.15796,U_3
560480694372.5723,130657899131.70807,54487838989.991394,26962806713.77022,U_3
544617876536.68994,128897065268.04785,54029632648.617615,26814160789.48016,U_3
529424733735.62427,127172228187.95659,53577436398.443054,26666866284.892937,U_3
514863931068.731,125482412491.36346,53131145722.90096,26520907005.657177,U_3
500900710070.6662,123826675632.94829,52690658369.830025,26376266999.716988,U_3
487502677482.5946,122204106603.0353,52255874292.46407,26232930553.25112,U_3
474639614020.26404,120613824666.20389,51826695592.707924,26090882186.383846,U_3
462283301002.14105,119054978161.27219,51403026466.05465,25950106648.957973,U_3
450407362944.56024,117526743357.53401,50984773147.88175,25810588916.292145,U_3
438987124475.56537,116028323358.94656,50571843861.38522,25672314185.452183,U_3
427999480058.6538,114558947062.63026,50164148767.768814,25535267871.361137,U_3
417422775272.79645,113117868163.08665,49761599917.10107,25399435602.64178,U_3
9.5089666799569e+17,2112356965897.6523,531700760003.81274,207374590735.06918,U_4
1.066736271769001e+17,2061435875971.0405,525392396175.85803,205915537156.05234,U_4
6.589686429284529e+16,2012350181968.1052,519198184855.21545,204472794164.69,U_4
3.758080817024032e+16,1965012431758.2659,513115387068.9488,203046120314.1425,U_4
4178847573628041.0,1919340336812.8777,507141345586.70166,201635278614.25092,U_4
145170328026494.94,1875256409549.377,501273482007.32,200240036433.0929,U_4
120523460355293.03,1832687630135.7249,495509293967.2338,198860165401.2294,U_4
101073289654487.39,1791565140028.581,489846352462.968,197495441318.36908,U_4
85239571845541.08,1751823959825.044,484282299283.0163,196145644062.20895,U_4
72628018354693.12,1713402729242.9014,478814844544.38104,194810557499.7542,U_4
62556529356716.03,1676243467255.7341,473441764328.576,193489969400.89435,U_4
54432758464383.71,1640291350622.2742,468160898412.3336,192183671354.07785,U_4
47802168222345.47,1605494509205.0474,462970148089.23425,190891458684.21777,U_4
42326260794852.516,1571803836641.6055,457867474077.9426,189613130372.48077,U_4
37753612814236.65,1539172815057.1885,452850894512.20483,188348488978.1714,U_4
33896148589667.11,1507557352642.9817,447918483010.68805,187097340562.58392,U_4
30611669777538.613,1476915633027.0745,443068366822.443,185859494614.78906,U_4
27791388091363.855,1447207975473.5356,438298725042.7575,184634763979.0824,U_4
25351081987582.383,1418396705016.3262,433607786899.5344,183422964784.282,U_4
23224797698509.7,1390446031737.8804,428993830104.39954,182223916374.88046,U_4
21360323768396.453,1363321938457.657,424455179267.75226,181037441243.7024,U_4
19715905455897.734,1336992076165.8762,419990204373.11237,179863364966.35538,U_4
18257832565153.688,1311425666599.677,415597319309.1372,178701516137.1201,U_4
16958648594884.494,1286593411404.7231,411274980457.7453,177551726306.46082,U_4
15795806584243.273,1262467407381.6072,407021685333.61597,176413829920.21368,U_4
14750649611036.277,1239021067350.65,402835971275.4773,175287664259.62573,U_4
13807629781288.422,1216229046215.4072,398716414184.73413,174173069383.97952,U_4
12953704244658.227,1194067171837.041,394661627311.49475,173069888073.19833,U_4
12177863927867.004,1172512380363.7761,390670260084.069,171977965772.8342,U_4
11470762719015.084,1151542655689.105,386740996981.8036,170897150539.7817,U_4
10824423371024.215,1131136972742.0234,382872556447.9085,169827292989.7573,U_4
10232002503780.277,1111275244332.1033,379063689842.53406,168768246245.69818,U_4
9687601502814.162,1091938271297.3011,375313180432.2012,167719865887.30206,U_4
9186113336870.102,1073107695720.2878,371619842416.0199,166682009901.84506,U_4
8723097691432.095,1054765957002.3882,367982519986.11237,165654538636.41827,U_4
8294678579016.706,1036896250593.3762,364400086421.2823,164637314750.9287,U_4
7897459908439.093,1019482489196.001,360871443212.3845,163630203171.94,U_4
7528455492460.128,1002509266278.7028,357395519218.4966,162633071048.5171,U_4
7185030732062.903,985961821738.012,353971269852.1522,161645787708.02774,U_4
6864853796754.191,969826009566.9633,350597676292.8219,160668224613.6407,U_4
6565854568702.767,954088267400.1614,347273744727.4698,159700255322.34818,U_4
6286189966734.805,938735587807.597,343998505617.25903,158741755444.46994,U_4
6024214538197.027,923755491224.408,340771012988.90546,157792602603.53143,U_4
5778455420620.797,909136000411.8755,337590343750.3984,156852676397.4398,U_4
5547590944033.482,894865616350.4785,334455597029.61273,155921858360.23227,U_4
5330432279264.437,880933295473.957,331365893535.16583,155000031925.03802,U_4
5125907644908.169,867328428159.6178,328320374938.7282,154087082387.38126,U_4
4933048671796.283,854040818396.3673,325318203277.6607,153182896869.72064,U_4
4750978593429.25,841060664556.1881,322358560377.6223,152287364286.75052,U_4
4578901987217.569,828378541203.655,319440647294.23157,151400375311.26593,U_4
4416095837251.928,815985381876.9719,316563683772.906,150521822340.8963,U_4
4261901726898.7705,803872462782.7457,313726907726.3192,149651599465.35883,U_4
4115719000327.189,792031387350.1561,310929574728.8794,148789602435.0194,U_4
3976998757442.1523,780454071591.7308,308170957527.4988,147935728629.46225,U_4
3845238567761.624,769132730224.1106,305450345568.2559,147089877026.99097,U_4
3719977806167.106,758059863503.328,302767044538.10516,146251948175.0713,U_4
3600793528036.8247,747228244731.9596,300120375921.15906,145421844160.96915,U_4
3487296813372.3755,736630908402.2953,297509676569.2475,144599468583.39462,U_4
3379129519766.62,726261138933.558,294934298285.7565,143784726524.39923,U_4
3275961392602.424,716112459975.5436,292393607422.7867,142977524522.1565,U_4
3177487488120.2227,706178624241.0933,289886984491.0307,142177770544.3285,U_4
3083425871100.1577,696453603840.4462,287413823781.3218,141385373961.85474,U_4
2993515554107.9487,686931581088.7711,284973532998.34204,140600245523.36087,U_4
2907514649683.2583,677606939760.2102,282565532905.6375,139822297329.8682,U_4
2825198710602.2007,668474256764.1462,280189256981.4789,139051442810.66534,U_4
2746359236591.7573,659528294220.4336,277844151085.2512,138287596699.23837,U_4
2670802328613.1235,650763991912.0736,275529673133.8795,137530675009.47208,U_4
2598347474251.436,642176460093.6932,273245292788.3882,136780595012.83777,U_4
2528826449758.77,633760972639.1548,270990491149.62064,136037275215.94942,U_4
2462082326078.497,625512960507.6469,268764760463.20847,135300635338.36394,U_4
2397968567724.188,617428005512.9902,266567603833.74185,134570596290.99675,U_4
2336348214699.036,609501834379.8492,264398534946.9196,133847080155.05162,U_4
2277093138793.4927,601730313071.021,262257077800.09363,133130010161.31883,U_4
2220083366619.894,594109441372.4971,260142766441.07977,132419310669.80215,U_4
2165206462598.891,586635347723.5969,258055144714.55194,131714907149.79953,U_4
1.204693334226386e+18,839422020203.5751,210654925464.51828,82108482019.19849,U_5
1.773754412628681e+17,819107927293.3683,208153080896.27664,81530550132.56749,U_5
4.7618165086442344e+16,799529676067.8589,205696567187.2111,80959082081.3394,U_5
2.3950650132238584e+16,780651996464.8319,203284294925.72922,80393982121.30219,U_5
2132995623238863.2,762441715150.8348,200915207274.76108,79835156276.68306,U_5
63378415793061.66,744867607146.9508,198588278806.99057,79282512301.79868,U_5
53578188883845.08,727900259607.7133,196302514391.84305,78735959642.40572,U_5
44836196361937.42,711511946617.3562,194056948124.96527,78195409398.95299,U_5
37496843071748.5,695676513996.4395,191850642303.6582,77660774289.28462,U_5
31646219823575.93,680369273210.7291,189682686443.85605,77131968614.19928,U_5
27010440583594.65,665566903571.2253,187552196336.18533,76608908223.44086,U_5
23309394999850.6,651247361985.4723,185458313138.98273,76091510482.1376,U_5
20320362092064.78,637389799601.1545,183400202510.81378,75579694237.59264,U_5
17876581908950.273,623974484747.2096,181377053775.55585,75073379788.02565,U_5
15854796548029.766,610982731628.2418,179388079119.4268,74572488851.1327,U_5
14163612639809.047,598396834296.4414,177432512820.68835,74076944533.82281,U_5
12734632036533.254,586200005434.8568,175509610511.69888,73586671303.53494,U_5
11516073017681.578,574376319587.2776,173618648465.06882,73101594958.07558,U_5
10468256540785.426,562910660440.6775,171758922911.0615,72621642598.7751,U_5
9560412971098.875,551788671839.288,169929749380.26263,72146742603.56291,U_5
8768407871925.982,540996712242.14954,168130462071.4085,71676824597.86003,U_5
8073106512377.431,530521812334.44434,166360413242.07123,71211819430.87228,U_5
7459184728626.348,520351635554.7886,164618972624.79327,70751659149.87029,U_5
6914254474841.199,510474441305.6729,162905526862.7346,70296276973.68765,U_5
6428213536485.595,500879050642.62524,161219478968.85422,69845607269.93396,U_5
5992756662932.529,491554814250.79315,159560247801.66125,69399585531.57025,U_5
5601004212243.747,482491582539.0429,157927267565.80084,68958148353.17079,U_5
5247217262460.944,473679677688.19446,156319987325.3415,68521233409.12273,U_5
